id,key,value,type
26149279,created_by,JOSM,regular
26149287,created_by,JOSM,regular
26497327,ref,20B,regular
26497327,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26497327,exit_to,SR-9;Los Gatos;Saratoga,regular
26497327,highway,motorway_junction,regular
26497329,ref,21,regular
26497329,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/17.pdf,regular
26497329,exit_to,Lark Avenue,regular
26497329,highway,motorway_junction,regular
26506871,ref,20A,regular
26506871,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26506871,exit_to,East Los Gatos,regular
26506871,highway,motorway_junction,regular
26729676,ref,11A,regular
26729676,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26729676,highway,motorway_junction,regular
33783800,ref,7,regular
33783800,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/87.pdf,regular
33783800,exit_to,Taylor Street,regular
33783800,highway,motorway_junction,regular
35854906,highway,traffic_signals,regular
35855179,highway,traffic_signals,regular
52152854,ref,23,regular
52152854,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/17.pdf,regular
52152854,exit_to,Camden Avenue;San Tomas Expressway,regular
52152854,highway,motorway_junction,regular
52153048,ref,25,regular
52153048,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/17.pdf,regular
52153048,exit_to,Hamilton Avenue,regular
52153048,highway,motorway_junction,regular
65377457,highway,turning_circle,regular
65377693,highway,turning_circle,regular
65377750,highway,traffic_signals,regular
65377773,highway,traffic_signals,regular
65377783,highway,traffic_signals,regular
65377793,highway,traffic_signals,regular
65378252,highway,traffic_signals,regular
65379915,highway,traffic_signals,regular
65379926,highway,traffic_signals,regular
65381004,highway,turning_circle,regular
65381011,highway,turning_circle,regular
65382127,highway,motorway_junction,regular
65384105,highway,turning_circle,regular
65386522,highway,traffic_signals,regular
65386530,highway,traffic_signals,regular
65386586,ref,25,regular
65386586,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/17.pdf,regular
65386586,exit_to,Hamilton Avenue,regular
65386586,highway,motorway_junction,regular
65386909,highway,motorway_junction,regular
65387549,highway,turning_circle,regular
65388057,highway,traffic_signals,regular
65388301,noexit,yes,regular
65388306,noexit,yes,regular
65388313,noexit,yes,regular
65388686,source,Yahoo,regular
65388686,highway,traffic_signals,regular
65389424,highway,turning_circle,regular
65390568,highway,turning_circle,regular
65390614,ref,1D,regular
65390614,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightysouth.pdf,regular
65390614,exit_to,Bascom Avenue,regular
65390614,highway,motorway_junction,regular
65392179,highway,turning_circle,regular
65393006,noexit,yes,regular
65393014,noexit,yes,regular
65393391,noexit,yes,regular
65393406,noexit,yes,regular
65393501,highway,turning_circle,regular
65393612,highway,traffic_signals,regular
65394127,noexit,yes,regular
65394145,noexit,yes,regular
65395447,highway,turning_circle,regular
65395450,source,Bing,regular
65395450,highway,turning_circle,regular
65395452,source,Yahoo,regular
65395452,highway,traffic_signals,regular
65396783,highway,turning_circle,regular
65397643,highway,traffic_signals,regular
65398527,noexit,yes,regular
65398543,noexit,yes,regular
65398698,highway,crossing,regular
65398698,crossing,zebra,regular
65398700,highway,traffic_signals,regular
65399739,highway,traffic_signals,regular
65402257,highway,traffic_signals,regular
65402740,ref,6B,regular
65402740,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/87.pdf,regular
65402740,exit_to,Julian Street,regular
65402740,highway,motorway_junction,regular
65402768,highway,traffic_signals,regular
65403787,highway,traffic_signals,regular
65403921,noexit,yes,regular
65405851,highway,traffic_signals,regular
65405977,highway,traffic_signals,regular
65406866,highway,traffic_signals,regular
65408480,highway,turning_circle,regular
65408488,highway,turning_circle,regular
65410697,highway,traffic_signals,regular
65410697,traffic_signals,ramp_meter,regular
65414170,highway,traffic_signals,regular
65414172,highway,traffic_signals,regular
65414174,highway,traffic_signals,regular
65414239,highway,traffic_signals,regular
65415940,highway,turning_circle,regular
65416055,highway,turning_circle,regular
65416096,highway,turning_circle,regular
65418941,highway,turning_circle,regular
65419171,highway,turning_circle,regular
65419211,highway,traffic_signals,regular
65419214,highway,traffic_signals,regular
65419219,highway,crossing,regular
65419219,crossing,zebra,regular
65419222,highway,traffic_signals,regular
65419224,highway,traffic_signals,regular
65419226,highway,traffic_signals,regular
65419229,highway,traffic_signals,regular
65419248,highway,traffic_signals,regular
65419253,source,Yahoo,regular
65419253,highway,traffic_signals,regular
